VideoID,Frame,TrackID,Class,Score,X,Y,Width,Height,PlayerX,PlayerY
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,1,person,0.819472,356.984,494.536,42.396,103.897,378.182,598.433
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,2,person,0.792988,734.770,540.065,41.052,125.086,755.296,665.151
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,3,person,0.789823,644.653,464.739,34.337,102.239,661.822,566.978
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,4,person,0.765618,988.580,202.235,22.519,56.244,999.840,258.479
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,5,person,0.736115,1099.451,218.148,21.343,72.186,1110.123,290.334
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,6,person,0.705729,517.108,199.414,22.436,58.950,528.326,258.364
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,7,person,0.690112,103.724,312.993,40.869,78.817,124.159,391.810
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,8,person,0.688821,11.232,333.412,26.169,78.990,24.316,412.402
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,9,person,0.646920,391.570,169.162,21.158,58.402,402.149,227.565
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,10,person,0.586996,32.738,188.551,23.667,58.431,44.572,246.983
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,11,person,0.556294,1060.567,128.849,17.977,50.606,1069.556,179.455
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,12,person,0.538095,625.995,167.679,19.506,45.896,635.748,213.576
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,13,person,0.531004,324.305,99.841,17.391,42.538,333.001,142.380
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,14,person,0.393642,985.216,80.215,17.346,37.332,993.890,117.547
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,15,person,0.378803,539.532,83.091,14.915,42.949,546.990,126.040
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,16,person,0.348132,1086.831,131.858,15.271,47.527,1094.466,179.385
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,17,person,0.332879,810.681,699.971,29.717,20.029,825.539,720.000
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,1,18,person,0.288147,610.059,130.400,17.239,44.119,618.678,174.519
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,1,person,0.818808,356.805,494.458,42.347,103.786,377.978,598.244
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,2,person,0.805224,733.610,538.930,41.128,125.230,754.174,664.160
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,3,person,0.747740,642.391,465.635,34.784,103.575,659.783,569.210
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,4,person,0.761179,987.596,202.559,22.553,56.332,998.872,258.891
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,5,person,0.738557,1099.403,218.097,21.226,71.800,1110.016,289.896
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,6,person,0.693886,517.382,199.061,22.478,59.108,528.621,258.168
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,7,person,0.673847,98.671,313.311,41.195,79.830,119.268,393.141
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,8,person,0.660797,15.981,333.316,26.159,79.004,29.061,412.320
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,9,person,0.668655,391.530,168.784,21.468,59.306,402.264,228.091
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,10,person,0.557363,31.399,189.404,23.740,58.531,43.269,247.935
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,11,person,0.601097,1060.525,129.435,17.547,49.351,1069.299,178.786
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,12,person,0.514038,625.828,167.275,19.645,46.215,635.650,213.490
red_SoccerNet_england_epl_2014-2015_2015-02-21 - 18-00 Chelsea 1 - 1 Burnley_000003,2,13,person,0.582998,321.945,99.156,17.563,43.014,330.727,142.170
