VideoID,Frame,TrackID,Class,Score,X,Y,Width,Height,PlayerX,PlayerY
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,1,989,person,0.801013,1037.156,466.832,97.365,152.347,1085.839,619.179
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,2,989,person,0.833384,1041.139,494.527,81.474,125.118,1081.876,619.646
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,2,999,person,0.891471,378.835,506.414,68.982,132.534,413.326,638.948
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,2,1000,person,0.770080,210.536,226.857,42.130,93.014,231.601,319.871
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,2,1001,person,0.787678,1097.052,289.370,53.640,90.188,1123.872,379.558
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,2,1002,person,0.559597,267.398,243.263,48.620,96.193,291.708,339.457
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,2,1004,person,0.721759,1047.581,213.282,52.264,81.893,1073.712,295.174
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,2,1005,person,0.747439,450.516,266.858,43.430,104.014,472.231,370.871
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,2,1006,person,0.750539,732.610,246.072,35.464,70.101,750.343,316.173
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,2,1007,person,0.546629,592.830,244.193,47.355,73.507,616.507,317.700
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,989,person,0.794432,1039.379,500.352,80.407,121.840,1079.582,622.192
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,999,person,0.891714,382.640,505.771,67.851,129.372,416.565,635.143
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,1000,person,0.746455,212.241,227.525,41.326,91.646,232.904,319.171
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,1001,person,0.655644,1086.853,288.607,53.999,90.694,1113.852,379.302
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,1002,person,0.646275,267.951,239.848,48.782,96.683,292.342,336.531
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,1004,person,0.758345,1050.532,212.039,50.852,79.866,1075.958,291.905
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,1005,person,0.753338,446.174,263.494,44.292,106.161,468.319,369.656
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,1006,person,0.706557,729.425,247.219,35.260,69.963,747.055,317.183
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,1007,person,0.692418,583.536,226.453,58.044,90.359,612.558,316.812
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,3,1012,person,0.780599,892.099,284.115,65.162,98.531,924.680,382.646
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,989,person,0.844200,1037.550,500.713,82.202,124.032,1078.651,624.745
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,999,person,0.889146,385.580,504.585,67.203,126.809,419.182,631.395
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,1000,person,0.745124,216.637,228.556,38.947,86.906,236.110,315.462
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,1001,person,0.535508,1073.074,288.380,53.837,90.674,1099.993,379.054
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,1002,person,0.717780,264.751,235.796,50.425,100.485,289.963,336.281
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,1004,person,0.684918,1050.728,210.474,52.008,82.267,1076.731,292.741
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,1005,person,0.794793,439.533,261.868,44.469,106.960,461.768,368.828
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,1006,person,0.749177,725.974,247.742,34.475,68.749,743.212,316.491
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,1007,person,0.711591,577.651,220.361,61.309,95.777,608.305,316.138
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,4,1012,person,0.795941,881.701,284.459,67.789,102.663,915.596,387.122
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,989,person,0.856967,1035.949,499.734,83.816,126.576,1077.857,626.309
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,999,person,0.883837,384.587,500.199,68.800,128.157,418.987,628.356
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,1000,person,0.732999,218.048,228.449,38.112,85.506,237.103,313.955
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,1001,person,0.323540,1061.447,290.283,51.378,87.075,1087.136,377.358
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,1002,person,0.702929,261.568,232.786,51.969,104.615,287.553,337.402
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,1004,person,0.641091,1049.412,207.497,52.396,83.628,1075.610,291.125
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,1005,person,0.779763,435.777,260.868,44.167,106.760,457.861,367.628
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,1006,person,0.693273,721.927,245.358,34.962,70.023,739.409,315.381
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,1007,person,0.608448,574.324,220.265,61.253,95.919,604.951,316.183
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,1012,person,0.754666,872.649,285.174,67.052,102.086,906.175,387.260
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,5,1018,person,0.521213,672.276,184.410,67.588,86.501,706.070,270.911
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,6,989,person,0.864029,1035.959,499.481,84.635,128.312,1078.277,627.793
red_SoccerNet_england_epl_2015-2016_2015-08-08 - 19-30 Chelsea 2 - 2 Swansea_000022,6,999,person,0.894633,381.442,495.594,71.280,130.970,417.082,626.564
